Count_of_sizes,Name_ of_colors,Product_code
0.0,CAMEL,FGC015032371A
1.0,CAMEL,FGC0L5028381B
0.0,BLACK,FGC031038871A
0.0,BLACK,FGC0H9020801A
1.0,BLACK,FGC0B3022101C
1.0,NAVY,FGC0B3023081A
0.0,NAVY,FGC0AA025771A
1.0,BLACK,FGC051016971A
6.0,DBROWN/WINE RED,FGF0DM033641A
6.0,BLACK,FGF0DL041921A
6.0,NEW BROWN,FGF051041881A
6.0,TAN,FGF0DL041861A
6.0,BLACK,FGF0DL041871A
5.0,BLACK,FGF0FW041931A
,,FGF0FX041911A
7.0,BLUE,FGF018044562A
6.0,BLACK,FGF0FW041891A
7.0,CHERRY,FGF0C3045042A
7.0,TAN,FGF018044542A
6.0,RED TAN,FGF0C3033671A
7.0,BLACK,FGF0M5046322A
7.0,BROWN,FGF0C3046302A
7.0,BEIGE,FGF051046342A
7.0,BORDO,FGF0M5046332A
6.0,NBLUE,FGF0BI041941A
6.0,BLACK,FGF0Z3022401C
6.0,COFFEE,FGF0DL041901A
7.0,BLACK,FGF0C3046312A
7.0,BROWN,FGF0C3046532A
7.0,BROWN,FGF0R7046522A
6.0,BLACK,FGF0FW041951A
6.0,BLACK,FGF0C3033631A
6.0,WINE,FGF018031782A
7.0,BORDO,FGF0C3045452A
7.0,TAN,FGF0C3045022A
7.0,DTAN,FGF0T1045462A
6.0,BROWN,FGF0180T8782A
7.0,BLUE,FGF0180R1812A
6.0,BLACK,FGF0180T8772A
7.0,BLUE,FGF0180R1792A
6.0,EARTHY YELLOW,FGF0180T8552A
5.0,BLACK,FGF0180T8562A
7.0,COFFEE,FGF0180R1822A
7.0,WINE RED,FGF0180R1782A
6.0,BLACK,FGF018031772A
7.0,BLACK,FGF0180R1872A
3.0,BROWN,FGF0C3027701B
5.0,BLACK,FGF0180T8532A
6.0,WINE RED,FGF0180T8702A
7.0,EARTHY YELLOW,FGF0180R1882A
7.0,COFFEE,FGF0180R1802A
4.0,WINE RED,FGF0180T8542A
7.0,COFFEE,FGF0180R1772A
4.0,BLACK,FGF0DO033721A
7.0,COFFEE,FGF0220R1852A
7.0,BLACK,FGF0220R1862A
7.0,BLACK,FGF0180R1832A
6.0,BROWN,FGF0Z3022401A
3.0,BROWN,FGF0AY030491A
4.0,BLACK,FGF0180T8692A
,,FGF0180R1842A
5.0,BORDO,FGF0180T8682A
,,FGF0AY030481A
1.0,BLACK,FGF018031732A
5.0,COFFEE,FGF051031712A
5.0,TAN,FGF018031792A
2.0,BLACK,FGF018031722A
3.0,BLACK,FGF018031762A
4.0,BLACK,FGF0180T8712A
4.0,BROWN,FGF0BI030501A
3.0,BLACK,FGF018031802A
1.0,BLACK,FGF0180U3842A
4.0,NAVY,FGF0180S1262A
5.0,ANTHRACITE,FGF0180S1242A
1.0,TWILIGHT BLUE,FGF0G2023001A
0.0,BLACK,FGF0AY028761A
4.0,BLACK,FGF0180T8672A
5.0,NAVY,FGF0180S1232A
4.0,BORDO,FGF0180T8722A
4.0,BROWN,FGF0180U2922A
5.0,BLUE,FGF0180T8742A
4.0,PETROL BLUE,FGF0180S1212A
2.0,BLACK,FGF0180U2842A
4.0,RUST BROWN 2,FGF0AY028771A
3.0,BROWN,FGF0180T8652A
2.0,BLACK,FGF0180T8662A
2.0,BROWN,FGF0510U2912A
1.0,NAVY,FGF0Z3021661A
0.0,BROWN,FGF0180U2852A
0.0,BLUE,FGF0180U6632A
0.0,BLACK,FGF0180U4382A
1.0,WHITE,FGF0BI027831A
2.0,BLACK,FGF0180U2892A
0.0,BLACK,FGF0AY027751A
1.0,BROWN,FGF0180U3832A
2.0,EARTHY YELLOW,FGF0180T8732A
2.0,BROWN,FGF0180U2882A
6.0,TAN,FGC0AY037121A
6.0,OLIVE,FGC0Z7044242A
6.0,WHITE,FGC0Z7044252A
2.0,NAVY/LGREY,FGC0Q6042972A
3.0,NAVY,FGC0GU0R8441Z
5.0,WHITE,FGC0Z7044682A
5.0,KHAKI,FGC0AC0R8401Z
5.0,NAVY,FGC0Z7047372A
5.0,RUST BROWN,FGC0D90R8421Z
4.0,BROWN,FGC0T8039811A
4.0,CAMEL,FGC0GT0R7261Z
4.0,CAMEL,FGC0Q9040591A
1.0,BROWN,FGC0AC0R8461Z
6.0,DBROWN,FGC015033451A
7.0,CAMEL,FGC015033431B
6.0,LGREY,FGC0Z7044142A
6.0,BLACK,FGC0180S2332A
6.0,OLIVE,FGC0Q6039882A
6.0,CAMEL,FGC0CG032981A
2.0,DUBAI KHAKI,FGC013040581A
6.0,BROWN,FGC0180S2392A
6.0,BLACK,FGC0Q6044882A
4.0,WHITE/BLACK,FGC0Q6042992A
6.0,RED,FGC0Q6043092A
6.0,TURQUOISE,FGC0Q6038252A
6.0,BROWN,FGC0M80R7921Z
3.0,NAVY,FGC0Q60T8402A
1.0,BROWN,FGC0AY029511A
3.0,DGREEN,FGC0Q60T8412A
6.0,OLIVE,FGC0Q6046112A
1.0,OLIVE GREEN,FGC0Q6038292A
4.0,OLIVE,FGC0Q6041992A
6.0,BLACK,FGC0180S2372A
6.0,RBLUE,FGC0Q6039052A
5.0,BLACK/SKY BLUE,FGC0Q6044892A
4.0,BROWN/KHAKI,FGC0Q6030252A
3.0,BLACK,FGC0Q6042362A
4.0,BLACK,FGC0AR030921B
6.0,CAMEL,FGC0Q6038422A
6.0,BLACK,FGC018032262A
5.0,NAVY,FGC0Q6039502A
6.0,BLACK,FGC0AR033891A
3.0,NAVY,FGC0Q60T8462A
0.0,GREY/NAVY,FGC0P9017441A
0.0,BLACK,FGC0Q6038752A
6.0,BROWN,FGC018032232A
1.0,OLIVE,FGC0Q6044902A
3.0,BLACK/WHITE,FGC0Q6040992A
4.0,RED,FGC0Q6036682A
4.0,NAVY,FGC0Q6036902A
5.0,DBROWN/BEIGE,FGC0Q6036702A
6.0,LGREY/NAVY,FGC0Q6036672A
5.0,BLACK,FGC0Q6046102A
1.0,DBROWN,FGC0Q6036912A
6.0,KHAKI,FGC0CG0R7321Z
0.0,GREY,FGC0Q6038892A
6.0,OLIVE,FGC0Q6039492A
4.0,NAVY,FGC0Q6038262A
2.0,NAVY,FGC0Q6043312A
2.0,GREY,FGC0Q6042752A
5.0,BLACK,FGC0Q6038092A
6.0,DGREY,FGC0Q6039032A
5.0,NAVY/RED,FGC0Q6036662A
4.0,KHAKI,FGC015033451B
4.0,DGREY,FGC0Q6038452A
2.0,DBROWN,FGC0Q6037312A
4.0,RED/NAVY,FGC0Q6041312A
4.0,OLIVE,FGC0Q6038362A
4.0,BROWN,FGC0Q6042392A
4.0,MAROON,FGC0Q6038582A
3.0,BLACK,FGC0Q6038462A
4.0,KHAKI,FGC0260T3622A
3.0,GREY,FGC0Q6038702A
0.0,BROWN,FGC0Z70T8822A
1.0,OLIVE,FGC0Q6042402A
2.0,CAMEL,FGC051033461A
1.0,BLUE/BLACK,FGC0Q6038382A
4.0,BROWN,FGC0AR030931B
2.0,NAVY,FGC0Q6038732A
4.0,BLACK,FGC0Q6041112A
4.0,GREEN,FGC0260T3652A
6.0,WHITE,FGC0Q60T8522A
2.0,OLIVE GREEN,FGC0V70R8481Z
2.0,BLACK,FGC018032242A
2.0,LGREY,FGC0Q6039202A
2.0,BROWN,FGC0GF0R7881Z
4.0,BLACK,FGC0Q6036852A
5.0,NAVY,FGC0Q6037904A
4.0,GREEN,FGC0260T3632A
3.0,BLACK,FGC0Q6037894A
1.0,BLACK,FGC0Q6037874A
5.0,DGREY,FGC0Q6038742A
4.0,BROWN,FGC018041462A
1.0,RED/NAVY,FGC0Q6038102A
0.0,KHAKI,FGC0M70R7901Z
2.0,BLACK,FGC0AY025281A
4.0,OLIVE GREEN,FGC0CG039801A
2.0,WHITE,FGC0Q6042352A
4.0,GREY/LGREY,FGC0Q6038532A
2.0,OLIVE,FGC0Z7044982A
5.0,WHITE,FGC0Q6038902A
0.0,BLACK,FGC0Q6038412A
1.0,NAVY,FGC0Q6038712A
2.0,DBROWN,FGC0Q6037332A
1.0,BLACK,FGC0Q6041332A
0.0,TURQUOISE/BLACK,FGC0Q6036972A
1.0,BLACK/DGREY,FGC0Q6030262A
2.0,DBROWN,FGC018020861A
1.0,SNAYPE,FGC0AR026701A
2.0,NAVY,FGC0Q6036942A
2.0,CAMEL,FGC051040601A
3.0,BLACK,FGC051037111A
1.0,GREY,FGC0Q6038122A
1.0,OLIVE,FGC0Q6037622A
4.0,OLIVE,FGC0Q6038472A
1.0,BROWN,FGC0Q6036652A
0.0,BROWN,FGC0Q6042372A
4.0,WHITE,FGC0Q6038912A
3.0,BROWN,FGC0Q6043642A
1.0,BROWN,FGC018012932A
3.0,DBROWN,FGC0Q6038352A
0.0,BLACK,FGC0Q6039192A
2.0,TAN,FGC018041452A
3.0,BROWN,FGC0Q6039942A
2.0,BLUE,FGC0Q60T8422A
2.0,BLACK,FGC0Q6042742A
1.0,TEAL,FGC0Q6038372A
0.0,BLACK,FGC0Q1021331A
